2023-12-19 13:12:794 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (3d55b9d158cb99ef40f7c3ae7bd5b5da)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:810 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (3d55b9d158cb99ef40f7c3ae7bd5b5da)] -> css selector: #menu .see-all]
2023-12-19 13:12:991 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (63f630a507f10577f59bd6ceec3cbbe1)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:07 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (63f630a507f10577f59bd6ceec3cbbe1)] -> css selector: #menu .see-all]
2023-12-19 13:12:232 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (d771894e27c9697f0e8a2e06ccf3ca19)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:258 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (d771894e27c9697f0e8a2e06ccf3ca19)] -> css selector: #menu .see-all]
2023-12-19 13:12:788 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (9b57c017365043838c320799df5a1587)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:807 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (9b57c017365043838c320799df5a1587)] -> css selector: #menu .see-all]
2023-12-19 13:12:374 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (1c20e1a017bc881ccdd5f6479a2d35a5)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:394 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (1c20e1a017bc881ccdd5f6479a2d35a5)] -> css selector: #menu .see-all]
2023-12-19 13:12:840 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (915f2206c6ec847ca2af964846e0b41f)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:857 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (915f2206c6ec847ca2af964846e0b41f)] -> css selector: #menu .see-all]
2023-12-19 13:12:650 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (b7b511b4f7ae3538b934d0bab678dcbc)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:667 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (b7b511b4f7ae3538b934d0bab678dcbc)] -> css selector: #menu .see-all]
2023-12-19 13:12:166 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (69782e723d4c40e544268e69978a5cb4)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:183 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (69782e723d4c40e544268e69978a5cb4)] -> css selector: #menu .see-all]
2023-12-19 13:12:325 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (943c5947bae1c06411f6e9f27b0e848f)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:347 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (943c5947bae1c06411f6e9f27b0e848f)] -> css selector: #menu .see-all]
2023-12-19 13:12:805 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (f76d82c400a3ad1e0c8737865a9fa8f2)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:821 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (f76d82c400a3ad1e0c8737865a9fa8f2)] -> css selector: #menu .see-all]
2023-12-19 13:12:698 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (ee8144a0b8f58156382fbd19f5520681)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:717 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (ee8144a0b8f58156382fbd19f5520681)] -> css selector: #menu .see-all]
2023-12-19 14:12:829 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (501225b56b6b4b40011da92e32594690)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:849 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (501225b56b6b4b40011da92e32594690)] -> css selector: #menu .see-all]
2023-12-19 14:12:811 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (7a30644a90a8f1250891e8014c891612)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:838 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (7a30644a90a8f1250891e8014c891612)] -> css selector: #menu .see-all]
2023-12-19 14:12:558 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (0db54cd62fb16d42d65ded9aa9643a62)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:578 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (0db54cd62fb16d42d65ded9aa9643a62)] -> css selector: #menu .see-all]
2023-12-19 14:12:56 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (ff95fe81e07480bb7d27c1baae792ddb)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:74 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (ff95fe81e07480bb7d27c1baae792ddb)] -> css selector: #menu .see-all]
2023-12-19 14:12:840 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (69c18b79a70502e1a8deeb38df76db56)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:858 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (69c18b79a70502e1a8deeb38df76db56)] -> css selector: #menu .see-all]
2023-12-19 14:12:10 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (5c12aaa6f3292164ae12a391b3747346)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:31 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (5c12aaa6f3292164ae12a391b3747346)] -> css selector: #menu .see-all]
2023-12-19 14:12:115 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (5d8e083b5b896f9c31d44f9e50706853)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
